label	predict	scores
-1	-1	-1.80634
-1	-1	-2.32039
-1	-1	-2.47219
-1	-1	-1.62517
-1	-1	-2.67826
-1	-1	-2.34421
-1	-1	-2.105
-1	-1	-1.45101
-1	-1	-2.47836
-1	-1	-2.37265
-1	-1	-1.60939
-1	-1	-2.23902
-1	-1	-1.82903
-1	-1	-1.14784
-1	-1	-2.46585
-1	-1	-1.85458
-1	-1	-3.06472
-1	-1	-1.61161
-1	-1	-2.04622
-1	-1	-2.45969
-1	-1	-1.46231
-1	-1	-2.44998
-1	-1	-2.60816
-1	-1	-2.10674
-1	-1	-1.68504
-1	-1	-2.00923
-1	-1	-1.10952
-1	-1	-1.76472
-1	-1	-2.47248
-1	-1	-1.30835
-1	-1	-2.64023
-1	-1	-1.35861
-1	-1	-2.53986
-1	-1	-3.05329
-1	-1	-2.61598
-1	-1	-2.46957
-1	-1	-2.70673
-1	-1	-1.74009
-1	-1	-1.86758
-1	-1	-1.14302
-1	-1	-2.06057
-1	-1	-2.07615
-1	-1	-3.19158
-1	-1	-2.1157
-1	-1	-3.06396
-1	-1	-2.05328
-1	-1	-2.12546
-1	-1	-2.62483
-1	-1	-1.93458
-1	-1	-2.41605
-1	-1	-2.06921
-1	-1	-2.10204
-1	-1	-2.44463
-1	-1	-2.71127
-1	-1	-2.07036
-1	-1	-2.42117
-1	-1	-1.4806
-1	-1	-0.330152
-1	-1	-2.10674
-1	-1	-0.904504
-1	-1	-1.62479
-1	-1	-2.06921
-1	-1	-2.443
-1	-1	-2.46257
-1	-1	-2.60896
-1	-1	-2.02488
-1	-1	-2.57634
-1	-1	-1.75253
-1	-1	-2.49546
-1	-1	-1.86479
-1	-1	-0.839811
-1	-1	-2.37265
-1	-1	-2.57774
-1	-1	-2.55419
-1	-1	-2.52043
-1	-1	-2.53986
-1	-1	-2.13112
-1	-1	-1.32073
-1	-1	-2.64315
-1	-1	-1.45983
-1	-1	-1.03957
-1	-1	-3.13123
-1	-1	-1.70891
-1	-1	-2.7564
-1	-1	-2.87057
-1	-1	-2.1851
-1	-1	-2.77792
-1	-1	-1.25391
-1	-1	-1.70287
-1	-1	-1.35408
-1	-1	-1.62476
-1	-1	-1.51342
-1	-1	-2.78251
-1	-1	-2.03707
-1	-1	-2.34768
-1	-1	-2.05533
-1	-1	-1.26926
-1	-1	-2.12698
-1	-1	-2.06587
-1	-1	-2.46916
-1	-1	-2.70338
-1	-1	-2.66372
-1	-1	-1.46756
-1	-1	-1.60442
-1	-1	-1.35265
-1	-1	-2.15002
-1	-1	-1.29894
-1	-1	-2.11878
-1	-1	-0.432325
-1	-1	-1.71032
-1	-1	-2.14787
-1	-1	-1.8375
-1	-1	-2.40407
-1	-1	-2.859
-1	-1	-2.5299
-1	-1	-2.14654
-1	-1	-2.65713
-1	-1	-1.79834
-1	-1	-2.01197
-1	-1	-2.4953
-1	-1	-2.51993
-1	-1	-2.79965
-1	-1	-2.41072
-1	-1	-1.33397
-1	-1	-1.62369
-1	-1	-2.37094
-1	-1	-1.92179
-1	-1	-2.88362
-1	-1	-1.43455
-1	-1	-3.25447
-1	-1	-2.74255
-1	-1	-1.57134
-1	-1	-1.89673
-1	-1	-2.52571
-1	-1	-1.74009
-1	-1	-2.84054
-1	-1	-2.2005
-1	-1	-2.63421
-1	-1	-2.68651
-1	-1	-1.96161
-1	-1	-1.21042
-1	-1	-1.609
-1	-1	-1.55189
-1	-1	-1.11806
-1	-1	-3.01687
-1	-1	-2.44738
-1	-1	-2.18726
-1	-1	-2.31624
-1	-1	-2.14925
-1	-1	-1.45984
-1	-1	-2.53342
-1	-1	-2.32738
-1	-1	-1.44274
-1	-1	-1.01292
-1	-1	-0.852345
-1	-1	-2.11553
-1	-1	-0.690138
-1	-1	-2.34353
-1	-1	-2.61793
-1	-1	-2.46274
-1	-1	-2.66503
-1	-1	-2.39443
-1	-1	-1.37555
-1	-1	-1.80309
-1	-1	-2.08222
-1	-1	-1.21116
-1	-1	-1.64082
-1	-1	-1.93787
-1	-1	-2.69636
-1	-1	-2.00109
-1	-1	-2.25063
-1	-1	-2.10576
-1	-1	-1.18622
-1	-1	-1.35079
-1	-1	-0.86839
-1	-1	-1.854
-1	-1	-2.36348
-1	-1	-1.21106
-1	-1	-2.46691
-1	-1	-2.63845
-1	-1	-2.03002
-1	-1	-2.78153
-1	-1	-1.50057
-1	-1	-2.12293
-1	-1	-2.2326
-1	-1	-2.08917
-1	-1	-1.35375
-1	-1	-2.37269
-1	-1	-3.12517
-1	-1	-2.14606
-1	-1	-1.79272
-1	-1	-2.32527
-1	-1	-2.38886
-1	-1	-0.918595
-1	-1	-2.59543
-1	-1	-1.39563
-1	-1	-2.62986
-1	-1	-2.07054
-1	-1	-2.05208
-1	-1	-2.43745
-1	-1	-1.5737
-1	-1	-2.60686
-1	-1	-1.21294
-1	-1	-2.07678
-1	-1	-2.15291
-1	-1	-2.61468
-1	-1	-2.46333
-1	-1	-0.697792
-1	-1	-2.24337
-1	-1	-1.22476
-1	-1	-2.45776
-1	-1	-2.44088
-1	-1	-2.71141
-1	-1	-1.93061
-1	-1	-0.247489
-1	-1	-1.90631
-1	-1	-2.21669
-1	-1	-2.31707
-1	-1	-0.887484
-1	-1	-1.8375
-1	-1	-2.27202
-1	-1	-2.43745
-1	-1	-1.52673
