label	predict	scores
-1	-1	-3.802
-1	-1	-5.15161
-1	-1	-5.38304
-1	-1	-3.90503
-1	-1	-7.91083
-1	-1	-4.84501
-1	-1	-4.39402
-1	-1	-3.50457
-1	-1	-5.10685
-1	-1	-5.60148
-1	-1	-3.00943
-1	-1	-5.50582
-1	-1	-3.59973
-1	-1	-1.47481
-1	-1	-5.71241
-1	-1	-3.83866
-1	-1	-7.50719
-1	-1	-3.67882
-1	-1	-4.53264
-1	-1	-6.0953
-1	-1	-2.95273
-1	-1	-5.01769
-1	-1	-7.17688
-1	-1	-5.15194
-1	-1	-3.19076
-1	-1	-4.25819
-1	-1	-2.73643
-1	-1	-4.1016
-1	-1	-5.54095
-1	-1	-3.89155
-1	-1	-5.6994
-1	-1	-2.67005
-1	-1	-6.00573
-1	-1	-7.668
-1	-1	-7.22588
-1	-1	-5.2283
-1	-1	-5.88743
-1	-1	-3.83839
-1	-1	-4.61615
-1	-1	-2.25358
-1	-1	-4.2652
-1	-1	-5.14334
-1	-1	-7.3771
-1	-1	-6.30172
-1	-1	-6.91518
-1	-1	-5.56904
-1	-1	-6.18695
-1	-1	-5.96234
-1	-1	-3.80027
-1	-1	-5.2115
-1	-1	-4.12935
-1	-1	-4.68398
-1	-1	-5.38685
-1	-1	-5.89027
-1	-1	-4.15068
-1	-1	-5.06293
-1	-1	-3.00313
-1	1	0.570635
-1	-1	-5.15194
-1	-1	-0.984395
-1	-1	-3.89335
-1	-1	-4.12935
-1	-1	-5.7401
-1	-1	-6.17679
-1	-1	-6.04921
-1	-1	-4.7568
-1	-1	-5.66611
-1	-1	-3.40718
-1	-1	-5.43665
-1	-1	-4.25322
-1	-1	-2.95931
-1	-1	-5.60148
-1	-1	-6.65645
-1	-1	-5.439
-1	-1	-6.83775
-1	-1	-6.00573
-1	-1	-4.65768
-1	-1	-3.07962
-1	-1	-5.74922
-1	-1	-3.932
-1	-1	-3.52781
-1	-1	-7.69522
-1	-1	-4.11457
-1	-1	-6.25991
-1	-1	-6.54197
-1	-1	-4.89923
-1	-1	-6.22283
-1	-1	-1.94005
-1	-1	-3.0347
-1	-1	-2.85775
-1	-1	-4.75324
-1	-1	-3.01271
-1	-1	-6.06063
-1	-1	-6.35182
-1	-1	-4.82881
-1	-1	-5.08515
-1	-1	-2.67772
-1	-1	-4.52543
-1	-1	-4.14437
-1	-1	-5.52501
-1	-1	-5.97238
-1	-1	-7.64312
-1	-1	-3.84014
-1	-1	-3.02916
-1	-1	-2.76439
-1	-1	-4.90376
-1	-1	-3.43086
-1	-1	-5.07883
-1	-1	-0.954667
-1	-1	-3.69559
-1	-1	-4.20975
-1	-1	-3.36378
-1	-1	-5.24199
-1	-1	-6.78787
-1	-1	-5.47997
-1	-1	-4.22873
-1	-1	-6.42844
-1	-1	-3.92173
-1	-1	-4.4181
-1	-1	-5.96105
-1	-1	-6.17724
-1	-1	-7.23418
-1	-1	-5.03304
-1	-1	-2.86257
-1	-1	-3.22583
-1	-1	-5.11117
-1	-1	-4.65607
-1	-1	-6.81354
-1	-1	-2.883
-1	-1	-8.05171
-1	-1	-6.00703
-1	-1	-3.86217
-1	-1	-5.8041
-1	-1	-5.39984
-1	-1	-3.83839
-1	-1	-7.0193
-1	-1	-4.47345
-1	-1	-5.53616
-1	-1	-6.3019
-1	-1	-4.39611
-1	-1	-2.89579
-1	-1	-2.8622
-1	-1	-2.53581
-1	-1	-2.69586
-1	-1	-6.86689
-1	-1	-5.68612
-1	-1	-4.82922
-1	-1	-6.45746
-1	-1	-4.67718
-1	-1	-3.39018
-1	-1	-5.8498
-1	-1	-5.46203
-1	-1	-3.20669
-1	-1	-1.22043
-1	-1	-2.35972
-1	-1	-4.51685
-1	-1	-1.65881
-1	-1	-5.50518
-1	-1	-6.00953
-1	-1	-5.40951
-1	-1	-6.21669
-1	-1	-5.50641
-1	-1	-3.20915
-1	-1	-3.75191
-1	-1	-4.61208
-1	-1	-2.2366
-1	-1	-3.29927
-1	-1	-5.1521
-1	-1	-5.87094
-1	-1	-3.9883
-1	-1	-6.06941
-1	-1	-4.77345
-1	-1	-2.39515
-1	-1	-3.37961
-1	-1	-1.65166
-1	-1	-4.36717
-1	-1	-5.30233
-1	-1	-2.3611
-1	-1	-5.66177
-1	-1	-5.77403
-1	-1	-3.92231
-1	-1	-6.36841
