label	predict	scores
-1	-1	-3.38586
-1	-1	-3.41874
-1	-1	-3.95544
-1	-1	-3.73984
-1	-1	-3.86675
-1	-1	-3.70036
-1	-1	-3.89213
-1	-1	-2.66953
-1	-1	-4.30295
-1	-1	-4.52927
-1	-1	-3.19965
-1	-1	-3.19412
-1	-1	-3.25966
-1	-1	-1.77324
-1	-1	-5.24956
-1	-1	-3.3732
-1	-1	-6.01042
-1	-1	-3.67121
-1	-1	-4.08339
-1	-1	-3.33288
-1	-1	-3.06071
-1	-1	-3.74093
-1	-1	-5.14189
-1	-1	-4.36128
-1	-1	-3.19415
-1	-1	-3.92254
-1	-1	-2.26232
-1	-1	-2.26328
-1	-1	-3.64096
-1	-1	-3.61554
-1	-1	-4.3855
-1	-1	-2.48147
-1	-1	-4.82253
-1	-1	-5.82276
-1	-1	-4.21699
-1	-1	-3.85136
-1	-1	-4.60978
-1	-1	-3.54389
-1	-1	-4.11992
-1	-1	-1.86295
-1	-1	-4.33346
-1	-1	-3.81736
-1	-1	-4.25593
-1	-1	-4.50545
-1	-1	-5.08165
-1	-1	-3.89998
-1	-1	-4.46686
-1	-1	-4.82685
-1	-1	-3.02309
-1	-1	-3.82959
-1	-1	-3.26996
-1	-1	-3.88696
-1	-1	-4.33109
-1	-1	-4.72076
-1	-1	-3.67146
-1	-1	-4.04507
-1	-1	-2.58919
-1	-1	-0.215804
-1	-1	-4.36128
-1	-1	-0.941868
-1	-1	-2.69043
-1	-1	-3.26996
-1	-1	-3.59753
-1	-1	-5.38715
-1	-1	-4.5719
-1	-1	-3.51337
-1	-1	-4.2653
-1	-1	-3.34828
-1	-1	-2.90194
-1	-1	-3.76424
-1	-1	-2.25445
-1	-1	-4.52927
-1	-1	-3.60956
-1	-1	-4.49362
-1	-1	-5.22631
-1	-1	-4.82253
-1	-1	-3.91144
-1	-1	-2.37672
-1	-1	-4.69817
-1	-1	-3.6099
-1	-1	-3.19855
-1	-1	-6.2347
-1	-1	-3.48253
-1	-1	-4.85233
-1	-1	-4.81029
-1	-1	-4.35037
-1	-1	-4.85648
-1	-1	-2.61785
-1	-1	-3.10574
-1	-1	-3.06551
-1	-1	-3.426
-1	-1	-2.49808
-1	-1	-4.51567
-1	-1	-4.94641
-1	-1	-3.86246
-1	-1	-3.89982
-1	-1	-2.27122
-1	-1	-3.40723
-1	-1	-3.65944
-1	-1	-4.84733
-1	-1	-3.94844
-1	-1	-4.5912
-1	-1	-2.75589
-1	-1	-2.41887
-1	-1	-2.91309
-1	-1	-4.26163
-1	-1	-3.84925
-1	-1	-3.89999
-1	-1	-1.58666
-1	-1	-3.56184
-1	-1	-1.86009
-1	-1	-3.35261
-1	-1	-3.93284
-1	-1	-5.23456
-1	-1	-4.35535
-1	-1	-3.2242
-1	-1	-4.27118
-1	-1	-4.26523
-1	-1	-2.76618
-1	-1	-4.87939
-1	-1	-4.27686
-1	-1	-3.80182
-1	-1	-3.92463
-1	-1	-2.73639
-1	-1	-2.70751
-1	-1	-2.84094
-1	-1	-3.30924
-1	-1	-4.63057
-1	-1	-2.07385
-1	-1	-6.11638
-1	-1	-3.81035
-1	-1	-3.05231
-1	-1	-4.87535
-1	-1	-3.97721
-1	-1	-3.54389
-1	-1	-5.45451
-1	-1	-3.90631
-1	-1	-4.39097
-1	-1	-5.38832
-1	-1	-3.88404
-1	-1	-2.5858
-1	-1	-1.90278
-1	-1	-2.15884
-1	-1	-2.57775
-1	-1	-4.93668
-1	-1	-4.3466
-1	-1	-4.03729
-1	-1	-5.11718
-1	-1	-4.08623
-1	-1	-2.61885
-1	-1	-4.11426
-1	-1	-5.12335
-1	-1	-2.47735
-1	-1	-0.947467
-1	-1	-2.2084
-1	-1	-3.90199
-1	-1	-1.47244
-1	-1	-4.5224
-1	-1	-4.72612
-1	-1	-4.74907
-1	-1	-4.07525
-1	-1	-4.25978
-1	-1	-3.44039
-1	-1	-3.47083
-1	-1	-4.57171
-1	-1	-1.59473
-1	-1	-1.58129
-1	-1	-4.49096
-1	-1	-4.51135
-1	-1	-3.24737
-1	-1	-4.31388
-1	-1	-4.02795
-1	-1	-2.07446
-1	-1	-2.91728
-1	-1	-1.75128
-1	-1	-2.36983
-1	-1	-4.76115
-1	-1	-2.08249
-1	-1	-3.88998
-1	-1	-3.91553
-1	-1	-3.3953
-1	-1	-5.11295
-1	-1	-2.46175
-1	-1	-2.33981
-1	-1	-4.64123
-1	-1	-4.96034
-1	-1	-2.78403
-1	-1	-4.21677
-1	-1	-5.97995
-1	-1	-3.55635
-1	-1	-1.60484
-1	-1	-4.27603
-1	-1	-3.22304
-1	-1	-1.52532
-1	-1	-4.13697
-1	-1	-2.72794
-1	-1	-4.28707
-1	-1	-3.68186
-1	-1	-3.90181
-1	-1	-3.06522
-1	-1	-4.24818
-1	-1	-5.9856
-1	-1	-2.33953
-1	-1	-4.06831
-1	-1	-3.77774
-1	-1	-5.30909
-1	-1	-3.41625
-1	-1	-2.01815
-1	-1	-4.4931
-1	-1	-2.3547
-1	-1	-5.07803
-1	-1	-4.55443
-1	-1	-4.6322
-1	-1	-4.2496
-1	-1	-0.908683
-1	-1	-3.26848
-1	-1	-4.42136
-1	-1	-3.56149
-1	-1	-2.69037
-1	-1	-3.35261
-1	-1	-3.85291
-1	-1	-3.06522
-1	-1	-2.61156
-1	-1	-3.018
-1	-1	-3.97725
-1	-1	-1.89463
-1	-1	-4.41607
-1	-1	-3.3958
-1	-1	-1.40959
-1	-1	-3.71542
-1	-1	-4.45562
-1	-1	-3.90692
-1	-1	-3.25222
-1	-1	-4.12626
-1	-1	-3.59351
-1	-1	-3.06551
-1	-1	-4.6346
-1	-1	-3.98745
-1	-1	-2.83939
-1	-1	-1.54573
-1	-1	-5.26775
-1	-1	-2.93183
-1	-1	-2.59204
-1	-1	-2.98646
-1	-1	-5.327
-1	-1	-4.07282
-1	-1	-5.03965
-1	-1	-2.39357
-1	-1	-3.20754
-1	-1	-4.28832
-1	-1	-3.16607
-1	-1	-1.45997
-1	-1	-3.24536
-1	-1	-5.04323
-1	-1	-7.18084
-1	-1	-4.51135
-1	-1	-4.89152
-1	-1	-3.16049
-1	-1	-4.11685
-1	-1	-3.86675
-1	-1	-1.37325
-1	-1	-4.6933
-1	-1	-6.25663
-1	-1	-3.54822
-1	-1	-3.53406
-1	-1	-3.79961
-1	-1	-3.13488
-1	-1	-2.34215
-1	-1	-2.69366
-1	-1	-4.0223
-1	-1	-4.18009
-1	-1	-2.58098
-1	-1	-5.0386
-1	-1	-4.35841
-1	-1	-4.48155
-1	-1	-4.5224
-1	-1	-0.875738
-1	-1	-4.07867
-1	-1	-3.98284
-1	-1	-5.75052
-1	-1	-2.80526
-1	-1	-6.42497
-1	-1	-2.39219
-1	-1	-2.92175
-1	-1	-5.34174
-1	-1	-3.95765
-1	-1	-2.68355
-1	-1	-1.22477
-1	-1	-3.7167
-1	-1	-4.21045
-1	-1	-3.44883
-1	-1	-4.34186
-1	-1	-1.12622
-1	-1	-4.72736
-1	-1	-3.33288
-1	-1	-2.39173
-1	-1	-4.71106
-1	-1	-4.85665
-1	-1	-3.40512
-1	-1	-1.08318
-1	-1	-3.68203
-1	-1	-4.22086
-1	-1	-5.33299
-1	-1	-3.68203
-1	-1	-3.93808
-1	-1	-4.13059
-1	-1	-3.78921
-1	-1	-5.10051
-1	-1	-1.98543
-1	-1	-3.71564
-1	-1	-1.95172
-1	-1	-3.75947
-1	-1	-3.51683
-1	-1	-4.60978
-1	-1	-3.74534
-1	-1	-3.30924
-1	-1	-1.78011
-1	-1	-2.97051
-1	-1	-3.37719
-1	-1	-4.39765
-1	-1	-3.07766
-1	-1	-2.9825
-1	-1	-3.71731
-1	-1	-3.67859
-1	-1	-2.5279
-1	-1	-4.31186
-1	-1	-3.2942
-1	-1	-1.71216
-1	-1	-4.09973
-1	-1	-4.83859
-1	-1	-4.85665
-1	-1	-4.56284
-1	-1	-2.87294
-1	-1	-1.226
-1	-1	-5.07646
-1	-1	-4.4873
-1	-1	-2.7818
-1	-1	-2.32152
-1	-1	-2.80203
-1	-1	-3.67285
-1	-1	-4.72708
-1	-1	-2.38214
-1	-1	-3.80326
-1	-1	-2.9882
-1	-1	-5.48656
-1	-1	-5.2759
-1	-1	-3.75329
-1	-1	-3.59441
-1	-1	-3.36467
-1	-1	-5.01943
-1	-1	-2.33226
-1	-1	-5.28433
-1	-1	-3.81675
-1	-1	-4.31072
-1	-1	-1.30038
-1	-1	-2.66886
-1	-1	-5.12353
-1	-1	-4.6933
-1	-1	-3.71279
-1	-1	-4.11408
-1	-1	-2.3547
-1	-1	-5.16837
-1	-1	-5.65902
-1	-1	-4.45502
-1	-1	-3.81674
-1	-1	-4.51135
-1	-1	-2.71022
-1	-1	-4.22003
-1	-1	-3.58609
-1	-1	-2.07251
-1	-1	-5.51345
-1	-1	-3.65927
-1	-1	-4.05869
-1	-1	-1.52891
-1	-1	-2.94779
-1	-1	-3.60379
-1	-1	-2.64591
-1	-1	-5.73065
-1	-1	-4.26302
-1	-1	-6.48351
-1	-1	-4.08623
-1	-1	-4.97485
-1	-1	-4.5364
-1	-1	-3.91793
-1	-1	-4.75276
-1	-1	-3.06892
-1	-1	-4.6933
-1	-1	-4.69817
-1	-1	-4.69817
-1	-1	-2.78731
-1	-1	-4.27327
-1	-1	-4.78258
-1	-1	-4.6238
-1	-1	-5.10349
-1	-1	-4.95393
-1	-1	-2.81096
-1	-1	-5.21034
-1	-1	-3.9336
-1	-1	-3.28489
-1	-1	-4.66569
-1	-1	-3.54917
-1	-1	-4.95544
-1	-1	-4.46497
-1	-1	-4.43993
-1	-1	-4.26561
-1	-1	-4.2215
-1	-1	-4.26435
-1	-1	-2.84015
-1	-1	-2.94539
-1	-1	-0.335323
-1	-1	-2.99188
-1	-1	-3.72673
-1	-1	-3.77704
-1	-1	-2.89149
-1	-1	-0.359441
-1	-1	-3.14039
-1	-1	-4.80533
-1	-1	-3.84925
-1	-1	-3.63868
-1	-1	-3.98762
-1	-1	-4.07867
-1	-1	-4.28291
-1	-1	-1.10693
-1	-1	-3.64096
-1	-1	-3.89999
-1	-1	-4.35069
-1	-1	-1.88518
-1	-1	-3.58607
-1	-1	-2.59464
-1	-1	-4.61214
-1	-1	-3.8855
-1	-1	-4.57902
-1	-1	-4.52889
-1	-1	-3.34219
-1	-1	-4.12626
-1	-1	-3.50195
-1	-1	-2.5439
-1	-1	-4.51135
-1	-1	-3.35261
-1	-1	-5.26442
-1	-1	-2.35365
-1	-1	-3.81808
-1	-1	-5.03824
-1	-1	-4.65768
-1	-1	-3.06456
-1	-1	-2.66213
-1	-1	-4.2653
-1	-1	-6.3352
-1	-1	-3.77674
-1	-1	-2.91712
-1	-1	-3.45454
-1	-1	-3.99393
-1	-1	-5.32419
-1	-1	-4.54414
-1	-1	-5.19455
-1	-1	-2.35365
-1	-1	-2.8657
-1	-1	-4.09382
-1	-1	-5.04681
-1	-1	-3.53406
-1	-1	-3.83427
-1	-1	-3.42667
-1	-1	-3.63459
-1	-1	-4.15078
-1	-1	-2.78368
-1	-1	-4.88783
-1	-1	-4.06726
-1	-1	-3.90631
-1	-1	-2.52772
-1	-1	-3.282
-1	-1	-3.9621
-1	-1	-3.55347
-1	-1	-4.6748
-1	-1	-3.34828
-1	-1	-2.6285
-1	-1	-4.43516
-1	-1	-4.27864
-1	-1	-3.90211
-1	-1	-3.90199
-1	-1	-3.49136
-1	-1	-5.03691
-1	-1	-3.6278
-1	-1	-4.99905
-1	-1	-3.20724
-1	-1	-5.14185
-1	-1	-4.86521
-1	-1	-3.66254
-1	-1	-5.08688
-1	-1	-3.2942
-1	-1	-3.79961
-1	-1	-2.47857
-1	-1	-3.26627
-1	-1	-3.5497
-1	-1	-3.06892
-1	-1	-3.95485
-1	-1	-3.54997
-1	-1	-3.92044
-1	-1	-3.67554
-1	-1	-5.45451
-1	-1	-3.62297
-1	-1	-1.8449
-1	-1	-4.35535
-1	-1	-4.27934
-1	-1	-2.68211
-1	-1	-3.15855
-1	-1	-4.82685
-1	-1	-3.54389
-1	-1	-2.67761
-1	-1	-5.43177
-1	-1	-4.26429
-1	-1	-4.0223
-1	-1	-4.08339
-1	-1	-3.71132
-1	-1	-4.39533
-1	-1	-3.02309
-1	-1	-3.18823
-1	-1	-4.60258
-1	-1	-2.36316
-1	-1	-3.89982
-1	-1	-4.6346
-1	-1	-4.40792
-1	-1	-3.80063
-1	-1	-3.70248
-1	-1	-5.4497
-1	-1	-5.76355
-1	-1	-3.19584
-1	-1	-3.54007
-1	-1	-3.77844
-1	-1	-4.30527
-1	-1	-3.17066
-1	-1	-1.48649
-1	-1	-3.99867
-1	-1	-3.64342
-1	-1	-3.21639
-1	-1	-2.84015
-1	-1	-3.76868
-1	-1	-5.43873
-1	-1	-3.3643
-1	-1	-3.98113
-1	-1	-3.46299
-1	-1	-3.31351
-1	-1	-5.30901
-1	-1	-3.14225
-1	-1	-4.85648
-1	-1	-4.45023
-1	-1	-1.9885
-1	-1	-2.83173
-1	-1	-4.30932
-1	-1	-3.83008
-1	-1	-2.91728
-1	-1	-1.95172
-1	-1	-3.92463
-1	-1	-3.91776
-1	-1	-3.62883
-1	-1	-4.57088
-1	-1	-5.47384
-1	-1	-4.4642
-1	-1	-3.98311
-1	-1	-5.08714
-1	-1	-1.75406
-1	-1	-3.14707
-1	-1	-3.82959
-1	-1	-4.86892
-1	-1	-2.99488
-1	-1	-3.87939
-1	-1	-4.57166
-1	-1	-2.9825
-1	-1	-3.71564
-1	-1	-3.92852
-1	-1	-2.97051
-1	-1	-3.53115
-1	-1	-3.32162
-1	-1	-4.30074
-1	-1	-3.59092
-1	-1	-3.90836
-1	-1	-3.98762
-1	-1	-3.10338
-1	-1	-4.83009
-1	-1	-4.11641
-1	-1	-3.79684
-1	-1	-4.33946
-1	-1	-5.91863
-1	-1	-4.26448
-1	-1	-4.73336
-1	-1	-0.215804
-1	-1	-4.23574
-1	-1	-3.29424
-1	-1	-5.61639
-1	-1	-3.90692
-1	-1	-4.30295
-1	-1	-4.68859
