PJ File ,activities,personal information,compliment,relationship,reframing,communicative desensitization,isolation,approach
abraxisreborn.txt,2,1,1,0,0,327,0,0
Adamou217.txt,2,3,0,0,2,1,0,2
aladiesmasseur.txt,0,10,0,0,1,21,0,1
alonzo403.txt,2,1,0,0,0,4,0,0
Antitrust40242.txt,0,1,0,0,1,5,0,8
arb1210.txt,0,5,0,0,0,20,3,0
ArmySgt1961.txt,0,1,0,0,0,4,1,0
army_dude1982.txt,1,7,3,0,1,11,0,0
artc68.txt,1,12,3,0,3,3,0,11
asian_kreationz.txt,2,4,0,0,0,4,0,2
Assfider.txt,0,0,0,0,0,15,0,0
aticloose.txt,0,0,0,0,1,10,0,0
audavideo.txt,4,86,3,0,17,87,2,7
augustadude2004.txt,10,3,3,0,4,6,2,6
b080387.txt,0,2,1,0,3,14,0,0
b318ti.txt,4,12,0,0,2,13,0,0
baddboyysweetheart.txt,0,24,9,0,3,24,1,0
bald_beaver_hunter42025.txt,1,15,0,1,4,23,0,2
balin79.txt,0,9,0,0,4,10,0,1
banditcapt71.txt,0,17,3,1,6,14,1,0
bearinwolfsfur.txt,0,10,0,0,2,5,4,0
bendix632.txt,3,10,1,0,0,79,0,0
ben_taul2000.txt,5,10,1,0,9,65,2,1
blaggca.txt,0,1,3,1,4,8,1,2
Blandmtthw.txt,1,7,0,0,0,12,0,0
blindsey _01.txt,0,7,0,0,0,43,0,0
bluegrizzly32.txt,1,10,0,0,0,0,0,2
bob10282001.txt,1,27,8,0,15,46,6,2
boosted_hollyjack.txt,1,2,1,0,0,0,0,1
boxbody00.txt,0,1,0,0,10,74,0,2
Bpm0207.txt,0,6,0,0,3,5,0,1
bpvmo.txt,4,15,0,0,3,92,1,0
bravesfan34581.txt,1,6,2,0,2,369,1,10
brian_e024.txt,0,3,2,0,0,7,1,1
briman31282.txt,0,0,0,0,5,41,0,0
broken_empires.txt,0,2,1,0,2,7,0,0
bud44800.txt,4,10,0,0,1,48,0,1
bud448002.txt,5,8,0,0,1,65,5,0
buick19722001.txt,2,1,0,0,4,23,0,2
burtoncanyon1732002.txt,2,3,1,0,2,11,0,0
cal_xicano130.txt,4,6,0,0,0,3,1,0
can_i_rape_you_anally.txt,0,8,0,0,1,41,0,1
ccndsu.txt,0,0,0,0,0,1,0,0
centgaguy04.txt,4,3,0,0,4,20,1,0
changeforthebetter2006.txt,2,0,0,0,1,6,0,1
chicago_naperville.txt,4,27,8,0,0,20,0,4
chinaski818.txt,0,1,1,0,1,3,1,2
chrispy967.txt,4,0,0,0,3,17,0,2
clitlicker42303.txt,1,3,0,0,1,11,1,2
come_ride_and_chill_with_me.txt,0,0,0,0,0,2,0,0
cookingman65.txt,2,6,0,1,5,10,0,0
cooperisaaca.txt,0,1,0,0,0,5,0,0
corazon23456partio23456.txt,2,5,1,0,1,4,1,3
crackspackler200.txt,1,15,2,1,3,35,0,1
Crazy4theNATS.txt,2,3,1,0,1,16,2,0
crazytrini85.txt,0,4,1,0,1,9,0,2
Curvedforherpleasure.txt,0,2,0,0,0,8,1,1
c_meandu.txt,3,19,3,0,16,25,2,1
daddyneedsslave.txt,10,40,4,0,28,174,2,0
daddywants2playnokc.txt,0,6,0,0,3,37,0,0
dave40962.txt,6,8,3,2,7,42,0,1
daveeatsyou.txt,0,9,0,0,3,67,3,2
DavieWants2.txt,0,1,2,0,1,32,1,0
daydreamez69.txt,0,64,0,0,2,16,0,0
daytona02.txt,1,12,2,0,3,10,0,0
dble_d1.txt,2,6,1,0,0,6,1,6
dckroll.txt,0,1,0,0,0,1,0,0
deaf1 _one.txt,17,13,0,0,3,15,3,1
desiredalex.txt,1,13,0,0,4,65,2,1
Devilzombie13.txt,3,10,0,0,1,27,1,1
dick_hungwell64.txt,3,7,0,0,4,485,0,1
docman_818.txt,0,1,0,0,0,0,0,0
dogshowsifudo.txt,0,1,0,0,0,3,0,0
DonCeech.txt,2,8,3,0,2,14,2,2
donni1957 _male.txt,0,0,0,0,2,5,1,1
dragon _2973.txt,1,1,0,0,2,15,0,0
drmz _1980.txt,0,11,0,0,0,37,0,1
Dsswinney.txt,0,11,0,0,0,3,0,0
dtwnsd.txt,1,9,0,0,12,34,2,1
dveightus.txt,0,19,0,1,11,73,2,2
elchiva8395020.txt,2,2,0,0,4,47,6,1
eveready122.txt,5,14,0,0,12,88,6,2
fargo1982.txt,0,3,0,0,11,20,0,1
farzadboy2003.txt,6,1,0,0,0,14,1,0
fightingfalconsguy.txt,1,3,0,0,1,3,1,0
fishman1192002.txt,0,0,0,0,0,3,1,0
flamningdonkeybutt.txt,0,1,0,0,2,18,2,2
florida_in_miami.txt,0,16,1,0,1,36,0,0
flxnonya.txt,0,1,0,0,1,12,0,0
fotophix.txt,0,1,0,0,0,2,2,2
fuddster88.txt,0,10,1,0,15,42,1,1
funjxn1.txt,0,9,1,0,18,150,0,1
g8rman21.txt,0,9,0,0,1,3,0,3
ginty77.txt,0,5,0,0,0,5,0,0
gmoney301981.txt,5,1,0,0,0,6,0,0
godofwineof3eb.txt,3,0,0,0,2,5,0,1
golfboi59.txt,0,9,0,0,2,24,0,0
Good  Boy B88.txt,2,12,8,0,75,142,6,3
goodbody1330.txt,3,5,0,0,4,7,2,2
goodguy1958.txt,0,2,0,0,1,15,1,2
goodguyportsmouthva.txt,4,2,0,0,0,7,0,1
grassman334.txt,1,11,1,0,2,62,0,0
greeneyed121.txt,4,12,2,0,1,14,1,1
green_eye_latino669.txt,0,6,1,2,3,9,2,0
groehrig123.txt,6,2,0,0,2,15,1,1
HAIRYONE4U.txt,0,5,5,0,6,19,2,1
hardblackdick.txt,2,0,0,0,0,217,0,0
hennessy1436.txt,0,3,0,0,0,2,0,0
hey_malen.txt,1,0,0,0,1,10,1,0
hiexcitement.txt,9,4,0,0,5,12,0,11
highplainsrider20002000.txt,0,2,0,1,4,21,0,1
hk_sf_hi.txt,16,9,0,0,2,16,4,1
holdyoucloser2003.txt,1,4,0,0,1,2,0,0
hot95cobraguy.txt,0,3,0,0,2,404,0,1
hotntastymale.txt,0,2,0,0,3,8,1,3
hotplushung.txt,0,1,1,0,0,1,1,0
hum _366.txt,0,8,2,0,4,27,0,0
icepirate53.txt,0,5,1,0,1,6,0,0
ich_bin_der_eggman _67.txt,0,1,1,0,3,28,3,2
icouldspoilu.txt,2,4,0,0,0,25,0,1
indianahighroller.txt,0,22,2,0,2,37,0,0
italianlover37.txt,0,0,0,0,1,4,0,0
iurutherford.txt,4,7,6,0,5,22,2,1
i_luv_the_putay.txt,0,0,0,0,1,25,0,1
jackenit_6in.txt,2,13,1,0,0,16,1,0
jacob_cason2003.txt,2,3,0,0,0,0,1,0
jagjen2003.txt,0,2,0,0,0,9,0,0
jaime2002 _22.txt,0,6,0,0,2,2,0,7
jay1oc.txt,1,4,1,0,0,4,0,0
jaydan0033.txt,0,11,1,1,5,24,1,1
jazzeman04.txt,3,2,0,0,1,19,0,1
jbird2000 _95020.txt,4,9,0,0,0,37,0,1
jbrian1964.txt,13,105,3,0,36,64,14,17
jc_bah.txt,5,16,3,0,5,27,3,1
JDC074.txt,2,3,1,0,1,7,2,0
jim90020.txt,0,2,0,0,1,4,2,2
Jimster7.txt,0,4,0,0,1,51,1,0
jim_garvin56.txt,0,13,0,0,4,21,0,0
jkspeedster0112.txt,3,15,0,0,2,19,0,2
jleno9.txt,0,1,0,0,0,9,0,0
jlh3120.txt,2,2,0,0,2,4,1,0
jmv91373.txt,0,6,0,0,0,37,0,4
john.frady2006.txt,1,2,1,0,4,22,1,0
johnchess2000.txt,3,8,2,1,2,12,3,14
jteno72960.txt,0,1,0,0,1,9,0,1
jtwant2play.txt,6,9,1,0,6,22,0,0
jubjub970.txt,3,25,0,0,8,33,2,4
juggalo4lifesuckas.txt,0,5,0,0,2,37,0,0
JungleMania20050.txt,5,9,0,0,1,14,5,0
Justinnbos.txt,1,1,0,0,1,9,0,0
kalowoodsman.txt,12,89,7,3,129,573,2,9
KCROWOO.txt,0,4,1,0,2,8,2,0
kenneth_forton.txt,1,5,0,0,1,49,2,0
kinkyjeff694u.txt,3,13,2,0,2,140,4,0
kinky_man_in_corona.txt,0,5,0,0,3,29,2,1
kool_biker80.txt,2,25,2,0,5,25,2,3
kydaddyalone.txt,14,99,13,2,33,120,20,7
latinhawk63.txt,0,8,0,0,4,32,0,0
latino _626.txt,5,3,3,0,6,18,0,0
laybay343.txt,0,2,0,0,0,3,0,0
lee_greer74.txt,5,12,4,0,2,12,5,2
likuososweet.txt,0,3,0,0,0,1,0,0
longbeachdude19.txt,5,17,1,1,8,25,1,3
lowvoltage18.txt,2,188,0,0,3,14,0,0
magic4isl2002.txt,1,12,0,0,4,42,0,6
magichands7777.txt,0,14,0,1,4,10,2,1
makavelli_of_lewiston.txt,0,18,1,0,6,14,1,4
mandaringuy78.txt,1,2,0,0,4,10,2,0
manflooking4sexwithladymoorheadf.txt,1,0,0,0,0,104,0,0
mannbay2004.txt,5,9,0,0,1,8,3,0
manofdarkneedsl951.txt,0,0,0,0,0,5,0,0
manontherun45.txt,0,44,4,1,14,293,6,2
mansfield_tiger2007.txt,0,5,0,0,0,13,0,2
Markiemarcc.txt,0,8,0,1,5,25,0,0
marriedandlookingforfun31313.txt,3,37,1,2,24,96,8,0
marzain2002.txt,4,24,0,0,4,60,0,0
meatrocket8.txt,0,1,0,0,0,13,0,0
michaelmeyer2448.txt,1,5,1,0,5,49,1,0
mikejardi.txt,0,3,0,0,4,12,1,1
mikespikegetiingcrazytocu.txt,0,0,0,0,1,8,0,0
mike_vestal69.txt,2,10,2,0,0,16,1,0
milw_male2002.txt,2,3,0,0,0,21,0,0
mjn _523.txt,4,10,0,0,4,33,0,0
mountaindew63401.txt,0,2,0,0,0,38,0,0
mr6317.txt,5,19,4,1,6,20,3,0
mrlvejones.txt,0,2,0,0,0,4,0,0
mxracer _126.txt,7,8,0,0,1,10,0,2
mygsr1.txt,0,1,0,0,1,5,1,0
nakzox.txt,4,7,1,0,1,10,1,4
navyboy_usn.txt,3,4,0,0,3,42,1,3
ndbaseballstudd.txt,1,12,1,1,3,11,0,5
ndguy58746.txt,0,23,6,0,7,118,0,0
needafriendtotalkto2005.txt,0,3,0,0,1,11,0,1
needinit1983.txt,4,1,0,0,1,2,0,0
netbuckeye.txt,1,4,1,0,0,1,2,0
nismo05007.txt,3,2,0,0,2,6,0,1
novamike30.txt,3,12,0,0,3,15,1,0
Oberon318.txt,0,4,1,0,1,1,1,0
onelstsoul.txt,3,5,2,0,2,28,0,0
osu_cowboy _24.txt,0,7,1,0,4,33,0,1
parknride _469.txt,2,4,0,1,0,9,0,0
Pavlov1234.txt,0,3,0,0,0,6,0,0
pedro70001976.txt,0,3,0,0,0,9,0,0
pete_wood11.txt,1,5,4,1,3,23,1,7
phil29ct.txt,5,9,0,0,4,13,1,1
pitbulldavid2001.txt,0,6,3,0,2,3,5,0
pol_clemente.txt,0,8,2,0,2,22,0,0
printo316.txt,0,5,0,0,2,7,0,4
ProtegeES2002.txt,2,27,4,0,12,16,1,5
quin_says.txt,2,8,0,0,1,2,0,0
rauch_jim.txt,2,17,1,0,1,25,1,2
readytofck.txt,13,11,1,0,5,60,1,2
REDBD.txt,0,4,2,0,0,16,0,0
residentsmith.txt,5,11,1,1,10,66,1,6
restchoice2000.txt,4,8,2,0,2,15,2,0
ricks_talented_tongue.txt,0,3,0,0,2,29,1,0
rkline05.txt,2,3,0,0,1,20,0,8
rn_buzzkiller2003.txt,3,6,0,1,9,61,0,2
roger4450.txt,0,5,0,0,0,6,0,0
ryan4686.txt,5,7,0,0,2,30,1,1
sadjack96.txt,14,17,5,2,11,32,0,2
samr125.txt,0,11,1,1,7,11,0,1
scoobydooatl01.txt,3,8,0,2,2,29,0,3
seanemdyoung.txt,1,6,2,0,2,23,2,0
sebastian_calif.txt,3,2,5,0,3,56,1,1
SetOnMyShaft.txt,0,15,2,0,1,23,1,0
shinelfmc2005.txt,1,5,1,0,4,95,0,0
simpatico174.txt,0,14,0,0,20,44,1,4
singletxguyforfun.txt,0,0,0,0,2,17,0,0
Slikesw.txt,0,2,0,0,1,4,0,0
smileman74.txt,0,120,2,2,26,260,3,3
Socal128.txt,0,3,0,0,0,0,0,0
