PJ File 	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	deceptive trust development	family	friendship	romantic	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	
abraxisreborn.txt	0	0	0	0	1	338	3	4	2	0	0	0	2	10	4	1	1	338	3	4	
Adamou217.txt	0	0	0	0	3	6	4	10	2	0	0	0	2	3	1	0	3	6	4	10	
aladiesmasseur.txt	0	0	0	0	5	46	9	6	0	0	0	0	0	12	6	0	5	46	9	6	
alonzo403.txt	0	0	0	0	0	5	6	19	2	0	0	0	2	3	0	0	0	5	6	19	
Antitrust40242.txt	0	0	0	0	2	10	2	9	0	0	0	0	0	5	2	0	2	10	2	9	
arb1210.txt	0	0	0	0	2	29	7	12	0	0	0	0	0	7	1	0	2	29	7	12	
ArmySgt1961.txt	0	0	0	0	0	7	1	5	0	0	0	0	0	2	0	0	0	7	1	5	
army_dude1982.txt	0	0	0	0	1	25	8	4	1	0	0	0	1	17	4	0	1	25	8	4	
artc68.txt	0	0	0	0	5	29	5	26	1	0	0	0	1	20	33	0	5	29	5	26	
asian_kreationz.txt	0	0	0	0	1	20	4	8	2	0	0	0	2	6	8	0	1	20	4	8	
Assfider.txt	0	0	0	0	0	29	1	10	0	0	0	0	0	0	4	0	0	29	1	10	
aticloose.txt	0	0	0	0	2	15	0	5	0	0	0	0	0	2	2	0	2	15	0	5	
audavideo.txt	0	0	0	0	63	289	58	53	4	0	0	0	4	130	78	0	63	289	58	53	
augustadude2004.txt	0	0	0	0	4	29	17	37	10	0	0	0	10	19	48	0	4	29	17	37	
b080387.txt	0	0	0	0	3	17	2	12	0	0	0	0	0	6	1	0	3	17	2	12	
b318ti.txt	0	0	0	0	4	72	10	44	4	0	0	0	4	36	48	2	4	72	10	44	
baddboyysweetheart.txt	0	0	0	0	10	68	30	29	0	0	0	0	0	25	2197	3	10	68	30	29	
bald_beaver_hunter42025.txt	0	0	0	0	4	85	14	27	1	0	0	0	1	27	911	1	4	85	14	27	
balin79.txt	0	0	0	0	5	19	7	26	0	0	0	0	0	19	44	0	5	19	7	26	
banditcapt71.txt	0	0	0	0	7	26	14	48	0	0	0	0	0	45	28	11	7	26	14	48	
bearinwolfsfur.txt	0	0	0	0	2	24	24	49	0	0	0	0	0	17	5	1	2	24	24	49	
bendix632.txt	0	0	0	0	2	189	24	40	3	0	0	0	3	33	26	4	2	189	24	40	
ben_taul2000.txt	0	0	0	0	15	93	14	43	5	0	0	0	5	23	76	0	15	93	14	43	
blaggca.txt	0	0	0	0	4	18	11	23	0	0	0	0	0	1	46	1	4	18	11	23	
Blandmtthw.txt	0	0	0	0	1	25	4	13	1	0	0	0	1	9	16	0	1	25	4	13	
blindsey _01.txt	0	0	0	0	0	71	10	10	0	0	0	0	0	24	8	0	0	71	10	10	
bluegrizzly32.txt	0	0	0	0	2	23	13	10	1	0	0	0	1	17	2	0	2	23	13	10	
bob10282001.txt	0	0	0	0	19	87	32	119	1	0	0	0	1	39	59	1	19	87	32	119	
boosted_hollyjack.txt	0	0	0	0	1	10	1	9	1	0	0	0	1	13	10	0	1	10	1	9	
boxbody00.txt	0	0	0	0	11	425	2	14	0	0	0	0	0	36	2	0	11	425	2	14	
Bpm0207.txt	0	0	0	0	3	6	0	5	0	0	0	0	0	8	0	2	3	6	0	5	
bpvmo.txt	0	0	0	0	6	158	29	30	4	0	0	0	4	32	54	0	6	158	29	30	
bravesfan34581.txt	0	0	0	0	4	380	11	26	1	0	0	0	1	24	3	0	4	380	11	26	
brian_e024.txt	0	0	0	0	2	21	3	10	0	0	0	0	0	24	6	0	2	21	3	10	
briman31282.txt	0	0	0	0	5	76	1	1	0	0	0	0	0	6	32	0	5	76	1	1	
broken_empires.txt	0	0	0	0	3	22	3	11	0	0	0	0	0	9	29	2	3	22	3	11	
bud44800.txt	0	0	0	0	1	72	18	23	4	0	0	0	4	27	0	0	1	72	18	23	
bud448002.txt	0	0	0	0	7	88	26	15	5	0	0	0	5	21	0	0	7	88	26	15	
buick19722001.txt	0	0	0	0	5	36	1	21	2	0	0	0	2	3	3	1	5	36	1	21	
burtoncanyon1732002.txt	0	0	0	0	2	26	12	18	2	0	0	0	2	13	10	1	2	26	12	18	
cal_xicano130.txt	0	0	0	0	1	18	6	6	4	0	0	0	4	11	13	4	1	18	6	6	
can_i_rape_you_anally.txt	0	0	0	0	3	499	7	15	0	0	0	0	0	34	10	0	3	499	7	15	
ccndsu.txt	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	1	3	0	1	
centgaguy04.txt	0	0	0	0	7	40	11	15	4	0	0	0	4	5	6	0	7	40	11	15	
changeforthebetter2006.txt	0	0	0	0	1	15	7	23	2	0	0	0	2	2	0	0	1	15	7	23	
chicago_naperville.txt	0	0	0	0	9	55	32	21	4	0	0	0	4	55	33	12	9	55	32	21	
chinaski818.txt	0	0	0	0	3	6	1	15	0	0	0	0	0	3	7	3	3	6	1	15	
chrispy967.txt	0	0	0	0	5	39	7	3	4	0	0	0	4	7	7	0	5	39	7	3	
clitlicker42303.txt	0	0	0	0	1	405	2	21	1	0	0	0	1	12	11	0	1	405	2	21	
come_ride_and_chill_with_me.txt	0	0	0	0	0	3	0	9	0	0	0	0	0	2	0	1	0	3	0	9	
cookingman65.txt	0	0	0	0	7	16	5	15	2	0	0	0	2	11	0	1	7	16	5	15	
cooperisaaca.txt	0	0	0	0	0	10	0	5	0	0	0	0	0	6	0	1	0	10	0	5	
corazon23456partio23456.txt	0	0	0	0	1	7	6	24	2	0	0	0	2	8	12	2	1	7	6	24	
crackspackler200.txt	0	0	0	0	7	89	23	39	1	0	0	0	1	31	35	2	7	89	23	39	
Crazy4theNATS.txt	0	0	0	0	1	28	5	7	2	0	0	0	2	5	2	3	1	28	5	7	
crazytrini85.txt	0	0	0	0	1	20	2	7	0	0	0	0	0	5	2	0	1	20	2	7	
Curvedforherpleasure.txt	0	0	0	0	2	213	2	8	0	0	0	0	0	12	6	2	2	213	2	8	
c_meandu.txt	0	0	0	0	19	83	21	23	3	0	0	0	3	59	58	1	19	83	21	23	
